No.,PM,Temperatura,L1,L2,FP,Inflamabilidad,NFPA reactivity (unitless),HMIS flammability,HMIS reactivity
1564,122.18,245,1.6,100,165,1,0,1,0
888,110.11,515,1.6,15.3,165,1,0,1,1
1597,150.17,349,0.9,9.2,177,1,0,,
826,92.09,400,0.9,19,177,1,0,,
1168,282.47,350,0.4,2.9,188.85,1,0,1,0
36,146.14,420,0.035,100,196,1,0,1,
1594,149.19,324,1.2,8.5,208,1,0,1,0
1107,264,375,2.4,12.4,600,1,0,1,0
1106,250,450,100,100,600,1,0,1,0
813,116.95,550,7.6,17.7,600,1,0,1,0
